rank,candidate_id,title,headline,years_experience,ai_skill_count,domain_score,skill_score,experience_score,final_score,headline_text,summary_text,top_career_snippets
11,CAND_0071974,Senior AI Engineer,Senior AI Engineer | Production ML at scale | 7.8+ yrs,7.8,8,0.38956262573645556,0.7017333333333333,1.0,0.71412212105427,Senior AI Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking t...","...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || Senior AI Engineer | Production ML at scale | 7.8+ yrs || ...8 years of hands-on experience building production ML systems, with a focus on search, ret... || ...entoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at t... || Owned the end-to-end ranking pipeline at a recommendations-heavy..."
12,CAND_0019480,NLP Engineer,"NLP Engineer | Search, Ranking & Retrieval",2.8,10,0.46240896305942947,0.7637333333333334,1.0,0.7131093555844955,"NLP Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.4 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || Search Engineer || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || ...erience building ML-powered features in production. Strong background in NLP, recommendati... || ...r model for cost control). Designed the evaluation framework with both automatic metrics (..."
13,CAND_0030953,Search Engineer,"Search Engineer | ML, NLP, Recommendation Systems",7.8,7,0.5818595943412997,0.6271333333333333,1.0,0.7117145449690566,"Search Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 7.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Search Engineer | ML, NLP, Recommendation Syst... || ...laborative filtering with content-based ranking. The system uses item-item similarit... || ...system serving 10M+ users that combined collaborative filtering with content-based ranking. The system... || ...eature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-d... || Developed a semantic search feature for an internal knowledge base..."
14,CAND_0037000,Search Engineer,"Search Engineer | ML, NLP, Recommendation Systems",2.7,9,0.4866013766552969,0.7716,1.0,0.7101404129965891,"Search Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || Search Engineer || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || Owned the ranking layer for an e-commerce search produ... || Owned the ranking layer for an e-commerce search product,..."
15,CAND_0094759,Lead AI Engineer,Lead AI Engineer | Production ML at scale | 8.6+ yrs,8.6,9,0.4054249173597267,0.8472,1.0,0.7099541418745846,Lead AI Engineer | Production ML at scale | 8.6+ yrs,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro...","...e recruiter-feedback loop that surfaced reranking edge cases. || ...latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, rec... || ...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL... || ...with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candid... || ...cessive ranker variants and ran them in A/B testing alongside the legacy keyword system. Th..."
16,CAND_0046064,Senior NLP Engineer,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech",8.9,6,0.4802854816548495,0.6011333333333333,1.0,0.7092956444964549,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 8.9 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro...","...e recruiter-feedback loop that surfaced reranking edge cases. || ...latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, rec... || ...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL... || ...with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candid..."
17,CAND_0014440,Recommendation Systems Engineer,"Recommendation Systems Engineer | Search, Ranking & Retrieval",6.4,9,0.43646546342942105,0.7108,1.0,0.7049329723621598,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.4 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...comfortable with the operational side — A/B testing, drift monitoring, retraining schedules... || Owned the ranking layer for an e-commerce search produ... || Owned the ranking layer for an e-commerce search product,... || ...ned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... || ...commendation Systems Engineer | Search, Ranking & Retrieval"
18,CAND_0080766,Staff Machine Learning Engineer,Senior Engineer | Search & Discovery Infrastructure,8.8,7,0.44375510346158203,0.7027333333333334,1.0,0.7004765310384747,Senior Engineer | Search & Discovery Infrastructure,Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to prod...,"Owned the search and discovery experience end-to-end at... || .... The work spanned data infrastructure, ranking algorithms, evaluation methodology, and... || ...the design and rollout of a large-scale semantic search system serving an internal corpus of 35... || ...cipline of keeping all of it healthy in production. I owned all three across roughly 14 mo... || ...us of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combin..."
19,CAND_0008978,Junior ML Engineer,Junior ML Engineer | 6.7 yrs in analytics & ML,6.7,11,0.3425476489646244,0.9012,1.0,0.6969376280227206,Junior ML Engineer | 6.7 yrs in analytics & ML,"Data scientist / ML engineer with 6.7 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last coup...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...was more on the modeling side than the productionization. || ...s. Pure ML side of the work; production deployment was handled by the platform team. || ..., but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedb..."
20,CAND_0039754,Senior Applied Scientist,Senior Applied Scientist | Building AI-native search & ranking systems,16.2,11,0.4515254134240772,0.8735999999999999,1.0,0.6942123091439565,Senior Applied Scientist | Building AI-native search & ranking systems,"Senior AI engineer with 8.3 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro...","...e recruiter-feedback loop that surfaced reranking edge cases. || ...latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, rec... || ...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL... || ...the design and rollout of a large-scale semantic search system serving an internal corpus of 35..."
21,CAND_0016163,Applied ML Engineer,Applied ML Engineer | Applied ML | Building intelligent products,6.7,9,0.3923234977560731,0.8336666666666667,1.0,0.6936137159934886,Applied ML Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Developed a semantic search feature for an internal knowledge base... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc... || ...spent enough time debugging production ranking issues to know which signals matter... || ...erience building ML-powered features in production. Strong background in NLP, recommendati... || Built and operated production ML pipelines using MLflow for experimen..."
22,CAND_0058412,Senior Software Engineer (ML),Senior Software Engineer (ML) | Data Science & ML enthusiast,6.6,12,0.4540512461316615,0.6990000000000001,1.0,0.6933920405061652,Senior Software Engineer (ML) | Data Science & ML enthusiast,"Data scientist / ML engineer with 6.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last coup...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || ..., but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedb... || AI Research Engineer"
23,CAND_0007009,Recommendation Systems Engineer,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems",7.9,7,0.42321556548078815,0.6976,1.0,0.6901913363109031,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 7.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || ...stack from feature engineering through deployment. Recently, I shipped our first RAG-base... || Developed a semantic search feature for an internal knowledge base... || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc..."
24,CAND_0041669,Recommendation Systems Engineer,"Recommendation Systems Engineer | Search, Ranking & Retrieval",8.0,8,0.46010920067653105,0.6701999999999999,1.0,0.6894160935362927,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...laborative filtering with content-based ranking. The system uses item-item similarit... || Recommendation Systems Engineer | Search, Ranking & Retrieval || ...system serving 10M+ users that combined collaborative filtering with content-based ranking. The system... || ...eature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-d... || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua..."
25,CAND_0037566,Machine Learning Engineer,"Machine Learning Engineer | Search, Ranking & Retrieval",6.9,8,0.3284205074054124,0.8024,1.0,0.6885128188882905,"Machine Learning Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || ...ramework for it. I've learned that most retrieval problems are actually evaluation proble... || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || Machine Learning Engineer | Search, Ranking & Retrieval || ...stack from feature engineering through deployment. Recently, I shipped our first RAG-base..."
26,CAND_0082913,Senior Software Engineer (ML),Senior Software Engineer (ML) | Building ML-powered solutions,5.5,9,0.3676139049840537,0.7007999999999999,1.0,0.6864575048285494,Senior Software Engineer (ML) | Building ML-powered solutions,"Data scientist / ML engineer with 5.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last coup...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || ..., but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedb... || ...th on the engineering and infra side of production ML. I want to grow into senior AI engin..."
27,CAND_0008425,Senior NLP Engineer,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,7.8,8,0.45695162536464917,0.7344666666666667,1.0,0.6860088209427282,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro...","...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...the design and rollout of a large-scale semantic search system serving an internal corpus of 35... || ...with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candid... || ...us of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combin... || ...8 years of hands-on experience building production ML systems, with a focus on search, ret..."
28,CAND_0007411,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Production ML at scale | 8.0+ yrs,8.0,8,0.37674014778848586,0.7514666666666667,1.0,0.6844687110032125,Senior Machine Learning Engineer | Production ML at scale | 8.0+ yrs,"Senior AI engineer with 8.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I owned the offline-online evaluation harness — ...","...ne Learning Engineer | Production ML at scale | 8.0+ yrs || ...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...entoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at t... || Owned the end-to-end ranking pipeline at a recommendations-heavy... || ...abels, plus the eval harness using both ranking metrics and human-quality scores. De..."
29,CAND_0044222,AI Engineer,"AI Engineer | ML, NLP, Recommendation Systems",7.7,7,0.42200331067509234,0.6419333333333332,1.0,0.6842776598691944,"AI Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 7.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Developed a semantic search feature for an internal knowledge base... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc... || ...erience building ML-powered features in production. Strong background in NLP, recommendati... || ...vance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human rel... || ...n production. Strong background in NLP, recommendation systems, and applied AI; comfortable ac..."
30,CAND_0003791,ML Engineer,ML Engineer | Building ML-powered solutions,6.6,10,0.27673392699170685,0.7845333333333333,1.0,0.6835935114308453,ML Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 6.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split...","...he feature store, and writing the model-serving observability layer. I worked closely w... || ...een dashboarding/analytics and shipping production ML models. I'm strongest at the modelin... || ...ted to ML feature engineering and model deployment for a fraud-detection product. My main... || ...hon, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth o... || ...modeling work was secondary — I was the production-side engineer."
31,CAND_0037980,Senior Applied Scientist,Senior Engineer | Information Retrieval at scale,9.0,8,0.39464491219126463,0.7371333333333334,1.0,0.6806701403240462,Senior Engineer | Information Retrieval at scale,Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to prod...,"Shipped the personalization infrastructure: the system that learns... || ...r-engineering early, optimizing offline metrics that didn't move online numbers, buildi... || ...nect users with relevant information at scale. Comfortable across the full stack from... || ...ior Engineer | Information Retrieval at scale || ...time has been in the middle layer — the ranking and retrieval systems that decide wh..."
32,CAND_0015967,Senior Software Engineer (ML),Senior Software Engineer (ML) | Data Science & ML enthusiast,5.4,8,0.3895065561970227,0.6117999999999999,1.0,0.6785219668591068,Senior Software Engineer (ML) | Data Science & ML enthusiast,"Data scientist / ML engineer with 5.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on rec...","...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...ted to ML feature engineering and model deployment for a fraud-detection product. My main... || Built recommendation-style features at a mid-stage startup —... || ...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...was more on the modeling side than the productionization."
33,CAND_0018549,Recommendation Systems Engineer,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems",6.8,7,0.411999824260081,0.6235999999999999,1.0,0.6784999472780243,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...",...system serving 10M+ users that combined collaborative filtering with content-based ranking. The system... || ...eature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-d... || Built a content recommendation system serving 10M+ users that combined collaborative... || Owned the ranking layer for an e-commerce search produ... || ...search-based product to embedding-based retrieval. I've learned that most retrieval probl...
34,CAND_0010541,AI Research Engineer,AI Research Engineer | Data Science & ML enthusiast,6.2,11,0.3990959586120821,0.7154666666666667,1.0,0.6780554542502912,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 6.2 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last coup...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...he feature store, and writing the model-serving observability layer. I worked closely w... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || ..., but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedb..."
35,CAND_0077337,Staff Machine Learning Engineer,Staff Machine Learning Engineer | Building AI-native search & ranking systems,7.0,7,0.43700429465786617,0.5997999999999999,1.0,0.6778379550640264,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval ...",...the design and rollout of a large-scale semantic search system serving an internal corpus of 35... || ...us of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combin... || ...cessive ranker variants and ran them in A/B testing alongside the legacy keyword system. Th... || ...items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and... || ...etrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spe...
36,CAND_0046525,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Building AI-native search & ranking systems,6.1,8,0.390107173047112,0.5982666666666666,1.0,0.6767588185808003,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 6.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval ...","...e recruiter-feedback loop that surfaced reranking edge cases. || ...latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, rec... || ...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL... || ...cessive ranker variants and ran them in A/B testing alongside the legacy keyword system. Th... || Built a RAG-based ranking pipeline serving 50M+ queries per month..."
37,CAND_0091745,Junior ML Engineer,Junior ML Engineer | Building ML-powered solutions,5.9,9,0.31335433661397716,0.6666,1.0,0.6756429676508597,Junior ML Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 5.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work h...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || ...deling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has b... || ..., but production. Used a combination of collaborative filtering (matrix factorization in implicit-feedb..."
38,CAND_0098952,AI Research Engineer,AI Research Engineer | Building ML-powered solutions,5.5,9,0.38848083424146423,0.5905999999999999,1.0,0.6752142502724393,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 5.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last coup...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || AI Research Engineer | Building ML-powered solution... || AI Research Engineer"
39,CAND_0096801,AI Research Engineer,AI Research Engineer | Data Science & ML enthusiast,4.2,12,0.25808006739385936,0.8644,0.8160000000000001,0.6738440202181578,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 4.2 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work h...","...was more on the modeling side than the productionization. || ...deling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has b... || AI Research Engineer || AI Research Engineer | Data Science & ML enthusiast || ...hon, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth o..."
40,CAND_0070333,AI Research Engineer,AI Research Engineer | Building ML-powered solutions,4.7,9,0.3955839414234879,0.7580666666666667,0.9339999999999999,0.672371849093713,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 4.7 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...een dashboarding/analytics and shipping production ML models. I'm strongest at the modelin... || ...s. Pure ML side of the work; production deployment was handled by the platform team. || AI Research Engineer | Building ML-powered solution..."
41,CAND_0059795,Senior Software Engineer (ML),Senior Software Engineer (ML) | Data Science & ML enthusiast,5.6,8,0.34293110978067387,0.6671333333333334,1.0,0.6713559996008689,Senior Software Engineer (ML) | Data Science & ML enthusiast,"Data scientist / ML engineer with 5.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split...","...-feedback library) and gradient-boosted re-ranking over engagement signals. Pure ML side o... || ...mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used... || ...een dashboarding/analytics and shipping production ML models. I'm strongest at the modelin... || ...he feature store, and writing the model-serving observability layer. I worked closely w... || ...s. Pure ML side of the work; production deployment was handled by the platform team."
